,id,longitud,latitud,cluster
1856,5284,-3717826807579,40343109429863,258
1857,5285,-3717836924002,40420198018546,191
1858,5286,-3717840268714,40420269975443,191
1859,5287,-3717843534315,40396630007839,243
1860,5288,-3717843836658,40438252232495,80
1861,5289,-3717896027721,40409894188027,250
1862,5290,-3717899713877,40411873731321,147
1863,5291,-3717932826189,40459261177217,46
1864,5292,-3718825503654,40461289099282,46
1865,5293,-3717937899373,40437234819000,80
1866,5294,-3717959598654,40383633437948,109
1867,5295,-3717999080222,40433137753307,80
1868,5296,-3718103786310,40440806526499,80
1869,5297,-3717450992207,40447485249078,23
1870,5298,-3717533680050,40432462755900,208
1871,5299,-3717560850574,40399267878698,243
1872,5300,-3718112010897,40410932197742,147
1873,5301,-3718119703452,40421149987069,191
1874,5302,-3718120209330,40473216595717,151
1875,5303,-3718205739510,40495838001355,123
1876,5304,-3718926868955,40413993901593,147
1877,5305,-3719063565029,40469858570155,89
1878,5306,-3719065274052,40495851167656,123
1879,5307,-3719149972520,40439437545468,80
1880,5308,-3719189718681,40495610923476,123
1881,5309,-3719219369830,40384330623572,109
1882,5310,-3719260292290,40481703638349,6
1883,5311,-3719272336541,40413954739254,147
1884,5312,-3719272787035,40435583785333,80
1885,5313,-3719325449341,40496212271127,123
1886,5314,-3719345185169,40481755429992,6
1887,5315,-3719373514044,40428274323088,255
1888,5316,-3720266678841,40472109707570,89
1889,5317,-3719545374489,40464667250514,46
1890,5318,-3720387248674,40494673190395,123
1891,5319,-3719381451484,40446717824443,23
1892,5320,-3719401096279,40437905095809,80
1893,5321,-3719417918629,40437964589244,80
1894,5322,-3719482543040,40404153794705,18
1895,5323,-3719573556716,40466269986498,46
1896,5324,-3719574726490,40373290176290,196
1897,5325,-3719582586015,40470175476331,89
1898,5326,-3719661304974,40372621497251,196
1899,5327,-3719679197781,40395680555807,186
1900,5328,-3719689211367,40437888064510,80
1901,5329,-3719774603639,40497089733713,123
1902,5330,-3719812607205,40496163982834,123
1903,5331,-3719839891106,40495361824444,123
1904,5332,-3719845171114,40400219516239,243
1905,5333,-3719871112350,40385201020459,109
1906,5334,-3719956878305,40427103294719,255
1907,5335,-3720034962021,40472537969221,89
1908,5336,-3720508770916,40472200369072,89
1909,5337,-3720529656700,40418893964505,191
1910,5338,-3720574563901,40474431076129,89
1911,5339,-3720656382613,40418492511126,191
1912,5340,-3720674251378,40429279548021,255
